coc_number,coc_name,coc_category,total_homeless,es_beds,rrh_beds,psh_beds,population,homeless_rate,psh_beds_pc,rrh_beds_pc,es_beds_pc
KS-503,Topeka/Shawnee County CoC,Other Largely Urban CoC,407,260,15,318,178567,22.79256525561834,17.808441649352904,0.8400208325166464,14.560361096955205
KS-505,"Overland Park, Shawnee/Johnson County CoC",Largely Suburban CoC,235,84,28,21,572428,4.10531979567736,0.3668583647201045,0.48914448629347274,1.467433458880418
KS-507,Kansas Balance of State CoC,Largely Rural CoC,1082,873,280,309,1477299,7.324177434629009,2.0916551084106874,1.8953509072977104,5.909433364538932
KY-500,Kentucky Balance of State CoC,Largely Rural CoC,2346,1556,1480,1362,3340736,7.022404643767122,4.076945918504186,4.430161497346693,4.6576562769401715
KY-501,Louisville-Jefferson County CoC,Major City CoC,1605,781,305,1893,759724,21.12609316014763,24.916943521594682,4.014615834171357,10.280049070451902
KY-502,Lexington-Fayette County CoC,Other Largely Urban CoC,815,475,101,352,311529,26.161288355177206,11.299108590211505,3.2420737716231876,15.247376648722911
LA-500,Lafayette/Acadiana CoC,Largely Rural CoC,452,249,82,351,654560,6.905402102175508,5.362380835981423,1.252749938890247,3.804082131508189
LA-502,"Shreveport, Bossier/Northwest Louisiana CoC",Other Largely Urban CoC,223,221,93,414,484360,4.604013543645222,8.547361466677678,1.9200594599058551,4.562721942356925
LA-503,New Orleans/Jefferson Parish CoC,Other Largely Urban CoC,1390,821,1175,3666,818126,16.990047987718274,44.80972368559366,14.362090924869763,10.035129063249427
LA-505,Monroe/Northeast Louisiana CoC,Largely Rural CoC,122,80,147,56,355614,3.43068608097544,1.5747411519231527,4.133695523798275,2.249630217033075
LA-506,Slidell/Southeast Louisiana CoC,Largely Suburban CoC,182,36,54,336,566390,3.2133335687423856,5.93230812690902,0.9534066632532353,0.6356044421688236
LA-507,Alexandria/Central Louisiana CoC,Largely Rural CoC,122,13,31,208,308153,3.9590722790302224,6.749893721625296,1.0059937758191546,0.421868357601581
LA-509,Louisiana Balance of State CoC,Largely Suburban CoC,678,400,323,857,1106530,6.127262704129124,7.7449323561042185,2.919035182055615,3.6149042502236726
MA-500,Boston CoC,Major City CoC,5202,5384,2664,3531,658279,79.02424351984493,53.63987002471597,40.46916277140848,81.78902866413785
MA-502,Lynn CoC,Largely Suburban CoC,1094,1073,0,227,92074,118.81747290223082,24.65408258574625,0,116.53669874231598
MA-503,Cape Cod Islands CoC,Largely Suburban CoC,427,227,28,229,242534,17.60577898356519,9.44197514575276,1.1544773103977175,9.359512480724351
MA-504,Springfield/Hampden County CoC,Largely Suburban CoC,2683,2523,440,1008,468072,57.320241330393614,21.53514843870174,9.400263207369807,53.90196380044096
MA-505,New Bedford CoC,Largely Suburban CoC,373,244,88,350,94988,39.268118078073016,36.84675959068514,9.264328125657977,25.687455257506212
MA-506,Worcester City & County CoC,Largely Suburban CoC,1607,1262,709,954,813589,19.751987797278478,11.725822251775774,8.7144737699256,15.511517486101706
MA-507,"Pittsfield/Berkshire, Franklin, Hampshire Counties CoC",Largely Suburban CoC,622,464,165,620,360514,17.253144122003583,17.197667774344406,4.5767986818819795,12.870512656928717
MA-509,Cambridge CoC,Other Largely Urban CoC,474,279,17,467,108757,43.5834015281775,42.93976479674872,1.563117776327041,25.653521152661437
MA-511,"Quincy, Brockton, Weymouth, Plymouth City and County CoC",Largely Suburban CoC,1472,950,265,1191,655607,22.452475339647076,18.166371011901948,4.042055682748964,14.490388296647229
MA-515,Fall River CoC,Largely Suburban CoC,433,264,76,192,88902,48.705315965895025,21.596814469865695,8.548739060988504,29.695619896065327
MA-516,Massachusetts Balance of State CoC,Largely Suburban CoC,4432,3133,347,1961,1070716,41.39286234631779,18.314847261085106,3.2408220293710004,29.260793711871308
MA-519,"Attleboro, Taunton/Bristol County CoC",Largely Suburban CoC,322,248,38,87,370978,8.67975998576735,2.3451525427383833,1.0243195014259605,6.685032535622058
MD-501,Baltimore CoC,Major City CoC,1627,1325,590,3351,621000,26.199677938808374,53.96135265700483,9.500805152979066,21.336553945249598
MD-503,Annapolis/Anne Arundel County CoC,Largely Suburban CoC,241,107,105,189,559737,4.30559351981377,3.3765857893975206,1.8758809941097336,1.9116120606642049
MD-504,Howard County CoC,Largely Suburban CoC,145,71,51,113,308447,4.700969696576721,3.663514315263238,1.653444513968364,2.301854127289291
MD-505,Baltimore County CoC,Largely Suburban CoC,612,512,246,511,825666,7.412198152763951,6.188943228860096,2.9794129829737446,6.201054663750233
MD-506,Carroll County CoC,Largely Suburban CoC,122,97,43,54,167535,7.282060464977468,3.2232070910556003,2.5666278688035336,5.789834959859134
MD-511,Mid-Shore Regional CoC,Largely Rural CoC,139,78,185,92,171303,8.11427704126606,5.370600631629335,10.799577357080729,4.553335318120523
MD-513,"Wicomico, Somerset, Worcester Counties CoC",Largely Rural CoC,329,294,123,310,178867,18.39355498778422,17.331313210374187,6.876617822180727,16.436793818871003
MD-600,Prince George's County CoC,Largely Suburban CoC,595,353,82,369,897693,6.628101143709486,4.110536675678656,0.913452594595257,3.9323020230747034
MD-601,Montgomery County CoC,Largely Suburban CoC,894,560,478,2112,1026371,8.710300661261863,20.57735458230991,4.657185364746276,5.456116745309444
ME-500,Maine Statewide CoC,Largely Rural CoC,4258,3361,521,2262,1329923,32.01689120347569,17.00850349982668,3.9175200368743153,25.272139815613386
MI-500,Michigan Balance of State CoC,Largely Rural CoC,1698,1474,897,450,2363563,7.184069136299731,1.9039052481359708,3.795117794617702,6.236347412783158
MI-501,Detroit CoC,Major City CoC,1482,1019,726,2883,683443,21.684324808360024,42.183473969299556,10.622685432435476,14.909802280512054
MI-502,"Dearborn, Dearborn Heights, Westland/Wayne County CoC",Largely Suburban CoC,199,134,218,548,1084150,1.835539362634322,5.054651109163861,2.010791864594383,1.235991329613061
MI-503,"St. Clair Shores, Warren/Macomb County CoC",Largely Suburban CoC,319,252,62,251,859703,3.7105837713722067,2.9196129360953726,0.7211792909877015,2.9312448601435612
MI-504,"Pontiac, Royal Oak/Oakland County CoC",Largely Suburban CoC,386,248,181,625,1235215,3.1249620511408946,5.059847880733313,1.4653319462603676,2.007747639074979
MI-505,Flint/Genesee County CoC,Largely Suburban CoC,396,271,97,295,413090,9.586288702219855,7.14130092715873,2.348156576048803,6.5603137330848
MI-506,"Grand Rapids, Wyoming/Kent County CoC",Largely Suburban CoC,1239,932,290,1076,629352,19.68691606604889,17.096950514179664,4.60791417203727,14.80888278737495
MI-507,"Portage, Kalamazoo City & County CoC",Other Largely Urban CoC,635,537,73,406,258605,24.554822992594886,15.69961911022602,2.8228379188337427,20.76525975909205
MI-508,"Lansing, East Lansing/Ingham County CoC",Other Largely Urban CoC,685,478,118,466,286362,23.920771610758408,16.273108862209373,4.120658467254733,16.692158875828497
MI-509,Washtenaw County CoC,Largely Suburban CoC,266,173,224,613,358082,7.428466105528901,17.118983919884272,6.255550404655917,4.831295625024436
MI-510,Saginaw City & County CoC,Largely Suburban CoC,324,284,79,281,195201,16.59827562358799,14.395418056259958,4.047110414393369,14.549105793515404
MI-511,Lenawee County CoC,Largely Rural CoC,149,153,29,7,98673,15.100382070069827,0.7094139227549583,2.939000537127684,15.505761454501233
MI-512,"Grand Traverse, Antrim, Leelanau Counties CoC",Largely Rural CoC,198,121,62,273,170415,11.618695537364669,16.019716574245226,3.6381773904879267,7.100313939500631
